Date,Net Asset Value,Repurchase Price,Sale Price
30-08-2016,11.1403,11.1124,11.1403
31-08-2016,11.1454,11.1175,11.1454
01-09-2016,11.1413,11.1134,11.1413
02-09-2016,11.1301,11.1023,11.1301
06-09-2016,11.1481,11.1202,11.1481
07-09-2016,11.1829,11.1549,11.1829
08-09-2016,11.189,11.161,11.189
09-09-2016,,11.1634,
12-09-2016,11.1759,11.148,11.1759
14-09-2016,10.6128,10.5863,10.6128
15-09-2016,10.6158,,10.6158
16-09-2016,,10.5991,10.6257
19-09-2016,10.6315,10.6049,10.6315
20-09-2016,10.6278,10.6012,10.6278
21-09-2016,10.6407,10.6141,10.6407
22-09-2016,,,10.6827
23-09-2016,10.6981,,
26-09-2016,,10.7081,
27-09-2016,10.7525,10.7256,10.7525
28-09-2016,10.7627,10.7358,10.7627
29-09-2016,10.7132,10.6864,10.7132
30-09-2016,10.7221,10.6953,10.7221
03-10-2016,10.7777,,10.7777
04-10-2016,10.8157,10.7887,10.8157
05-10-2016,10.8608,10.8336,10.8608
06-10-2016,10.8367,10.8096,10.8367
07-10-2016,,10.7701,10.7971
10-10-2016,10.8348,10.8077,10.8348
13-10-2016,10.8231,10.796,10.8231
14-10-2016,10.8056,10.7786,10.8056
17-10-2016,10.8132,10.7862,10.8132
18-10-2016,10.8318,,10.8318
19-10-2016,10.8235,10.7964,10.8235
20-10-2016,10.8203,10.7932,
21-10-2016,10.8264,10.7993,10.8264
24-10-2016,10.8241,10.797,10.8241
25-10-2016,10.8101,10.7831,10.8101
26-10-2016,,10.7846,10.8116
27-10-2016,10.8085,10.7815,10.8085
28-10-2016,10.8093,10.7823,10.8093
01-11-2016,10.8097,10.7827,10.8097
02-11-2016,10.8062,10.7792,10.8062
03-11-2016,10.7939,10.7669,10.7939
04-11-2016,10.7868,10.7598,10.7868
07-11-2016,,10.7704,10.7974
08-11-2016,10.8167,10.7897,10.8167
09-11-2016,10.9028,10.8755,10.9028
10-11-2016,10.9219,10.8946,10.9219
11-11-2016,10.8697,10.8425,10.8697
15-11-2016,,11.0077,11.0353
16-11-2016,11.0783,11.0506,11.0783
17-11-2016,11.0732,11.0455,
18-11-2016,11.063,11.0353,11.063
21-11-2016,11.1671,11.1392,11.1671
22-11-2016,11.1822,11.1542,11.1822
23-11-2016,11.2417,11.2136,11.2417
24-11-2016,,11.2988,11.3271
25-11-2016,11.3176,11.2893,11.3176
28-11-2016,11.2379,11.2098,11.2379
29-11-2016,11.2071,11.1791,11.2071
30-11-2016,11.2333,11.2052,11.2333
01-12-2016,11.2612,11.233,11.2612
02-12-2016,11.2355,11.2074,11.2355
05-12-2016,11.262,11.2338,11.262
06-12-2016,11.2834,11.2552,11.2834
07-12-2016,11.115,11.0872,11.115
08-12-2016,11.1238,11.096,11.1238
09-12-2016,11.0952,11.0675,11.0952
13-12-2016,,11.0888,11.1166
14-12-2016,10.7267,10.6999,10.7267
15-12-2016,10.6403,10.6137,10.6403
16-12-2016,10.6452,10.6186,10.6452
19-12-2016,10.6478,10.6212,10.6478
20-12-2016,10.6512,10.6246,10.6512
21-12-2016,10.6604,10.6337,
22-12-2016,10.6371,10.6105,10.6371
23-12-2016,10.6196,10.5931,10.6196
26-12-2016,10.5965,10.57,10.5965
27-12-2016,10.5917,10.5652,10.5917
28-12-2016,10.6071,10.5806,10.6071
29-12-2016,10.6522,10.6256,10.6522
30-12-2016,10.6815,10.6548,10.6815
02-01-2017,10.7463,10.7194,10.7463
03-01-2017,10.7325,10.7057,10.7325
04-01-2017,10.7517,10.7248,
05-01-2017,10.7597,10.7328,10.7597
06-01-2017,10.7432,,10.7432
09-01-2017,10.747,10.7201,10.747
10-01-2017,10.7456,10.7187,10.7456
11-01-2017,,10.7151,10.742
12-01-2017,10.7675,10.7406,10.7675
13-01-2017,10.735,10.7082,10.735
16-01-2017,10.7223,10.6955,10.7223
17-01-2017,10.7402,10.7133,10.7402
18-01-2017,10.715,10.6882,10.715
19-01-2017,10.6982,10.6715,10.6982
20-01-2017,10.7085,10.6817,
23-01-2017,10.7309,,10.7309
24-01-2017,10.7249,10.6981,10.7249
25-01-2017,10.7406,10.7137,10.7406
